[2023-07-08T07:54:44.574Z] debug: 	Importing configs...
[2023-07-08T07:54:44.612Z] info: 	Commit hash: a213a18e4d0946ed72fc812ca0779be95349d6c0
[2023-07-08T07:54:44.660Z] info: 	模组加载器：正在加载2模组...
[2023-07-08T07:54:44.667Z] error: 	(ServerValueModifier1.6.4)模组是一个客户端修改模组，应当置于/spt/bepinex/plugins目录下
[2023-07-08T07:54:44.674Z] info: 	已成功加载由Damkris编写的1.2.0版KeyBlindBox模组
[2023-07-08T07:54:44.720Z] info: 	服务端：正在执行启动回调...
[2023-07-08T07:54:44.724Z] info: 	正在导入数据库...
[2023-07-08T07:54:44.934Z] debug: 	File validation failed for file: Aki_Data/Server/database/locales/server/zh.json
[2023-07-08T07:54:47.917Z] info: 	Database import finished.
[2023-07-08T07:54:49.878Z] succ: 	已在http://127.0.0.1:6969成功启动webserver
[2023-07-08T07:54:49.879Z] succ: 	于ws://127.0.0.1:6969启动了websocket
[2023-07-08T07:54:49.880Z] succ: 	服务器正在运行 玩得开心!!
[2023-07-08T07:54:54.311Z] info: 	[客户端请求] /launcher/server/connect
[2023-07-08T07:54:54.351Z] info: 	[客户端请求] /launcher/ping
[2023-07-08T07:54:54.354Z] info: 	[客户端请求] /launcher/server/version
[2023-07-08T07:54:54.357Z] info: 	[客户端请求] /files/launcher/bg.png
[2023-07-08T07:54:54.371Z] info: 	[客户端请求] /launcher/ping
[2023-07-08T07:54:54.398Z] info: 	[客户端请求] /launcher/profile/login
[2023-07-08T07:54:54.401Z] info: 	[客户端请求] /launcher/profile/get
[2023-07-08T07:54:54.404Z] info: 	[客户端请求] /launcher/profile/info
[2023-07-08T07:54:54.413Z] info: 	[客户端请求] /launcher/server/version
[2023-07-08T07:54:54.565Z] info: 	[客户端请求] /files/launcher/side_usec.png
[2023-07-08T07:54:54.569Z] info: 	[客户端请求] /launcher/profile/login
[2023-07-08T07:54:54.572Z] info: 	[客户端请求] /launcher/profile/get
[2023-07-08T07:54:54.574Z] info: 	[客户端请求] /launcher/profile/info
[2023-07-08T07:54:54.576Z] info: 	[客户端请求] /launcher/server/version
[2023-07-08T07:54:54.861Z] debug: 	Generator: 0.6568 fuel left in slot 2
[2023-07-08T07:54:54.861Z] debug: 	Water filter: 61.449 filter left on slot 1
[2023-07-08T07:54:54.956Z] info: 	存档已保存
